id,title,text_snippet,ground_truth
289b49692e94306c630d6cd388db7002,21-yr-old dies in second accident on Ghodbunder Rd,"THANE: A 21-year-old woman returning home from work died on the spot in an accident on Ghodbunder Road. This accident comes less than 24 hours after a 32-year-old police constable died after his bike skidded while overtaking a dumper at Cadbury Junction. Thane, India - July -13, 2025: The accident spot at Nagala Bander ,On Saturday night, a 21-year-old woman riding a two-wheeler was coming from Gaimukh to Thane when her two-wheeler skidded on the",1
60ad33fc14c7be2b5a866d4b945f0e7f,Man dies after falling from moving bus in Delhi; driver held,"A 31-year-old daily-wage labourer died after falling from the rear gate of a moving cluster bus in southwest Delhi’s Kapashera area on Saturday afternoon, police said. The driver of the bus was arrested from the spot but later released on bail. The bus was en route to Bijwasan, and the victim, identified as Shivam Kumar, originally from Kanpur, Uttar Pradesh, was also headed to the same destination.(Representational Image)  The bus was en route t",1
7237aa4cc9a2a206ed3250ebd95a75be,"5 dead, 1 critical as SUV carrying 6 falls into 600-feet gorge in Jammu and Kashmir’s Ramban","Five people were killed and another was critically injured when a private passenger vehicle skidded off the road and plunged into a 600-feet gorge in Ramban district of Jammu and Kashmir, officials said on Saturday. Jammu and Kashmir Lt Governor Manoj Sinha, chief minister Omar Abdullah and Union minister Jitendra Singh expressed grief over the accident(Representational)  The SUV met with the accident near Senabathi in Ukhral Pogal Paristan area",1
101f789acff9b38c73438b2e48551809,Truck topples during road inspection in Maharashtra's Beed | On video,"A Public Works Department engineer along with some other people narrowly escaped an accident as a truck that came during a road inspection toppled while crossing a muddy path in Maharashtra’s Beed. Some even jumped into the pit dug for construction so as to not get crushed under the truck, shows video. (Screengrab/X/@PTI_News)  The incident happened in Beed’s Khadki area when a team was at the spot assessing an alternative route amid ongoing brid",1
ec8dcc6a8f14786d66bea06bc862ee17,4 dead as truck falls into gorge in Madhya Pradesh's Agrapani Chata,"A truck carrying borewell machinery and labourers met with an accident, reportedly killing at least four people near Madhya Pradesh's Agrapani Chata area on Friday. Additional police personnel and ambulances have been deployed to the spot to assist the search and rescue operations.(Unsplash/ representational)  According to the police, the truck, after losing balance, went out of control and fell into a 60-foot-deep gorge, TOI reported.  Know the",1
70e74f2b49aa241e1264a79a9959dec6,Eight seriously injured after bus collided with stationary truck in Goregaon,"Mumbai: At least eight people were seriously injured after a bus collided with a stationary truck on Sewri-Dindoshi route early on Friday. The BEST bus and truck accident on Western Express Highway near Vanrai Police Station, five passengers injured in Mumbai.(Satish Bate/ HT Photo)  The injured included the driver and conductor of the bus, which belonged to Brihanmumbai Electric Supply and Transport (BEST),  Know the latest trending news with HT",1
995d9db292d599f777f1465331187557,"Car plunges off mountain near Rohtang Pass in Himachal's Kullu amid rain, 4 killed, 1 seriously injured","Four people died and one was seriously injured as their car plunged into a gorge near the Rohtang Pass in Himachal Pradesh's Kullu district amid heavy rain on Sunday. Heavy and incessant rains across Himachal Pradesh have led to many roads being blocked.(Hindustan Times)  The vehicle, which had five passengers, slipped off the road before falling down the mountain near Rahninala, deputy superintendent of police, Manali, KD Sharma said.  Know the",1
07aefae582865ec5533cad5fb303ffcf,Karnataka man dies after falling into fire pit during Muharram ritual,"A Karnataka man tragically died after falling into a fire pit on Sunday during Muharram celebrations in Raichur district. He was rushed to the hospital but could not be saved, said Lingasur Police. A man tragically died in Karnataka after falling into a ritual fire pit during Muharram celebrations.(HT Photo)  The 40-year-old victim, identified as Hanumanth, was preparing for the festival when he accidentally fell into the fire pit used in a key r",2
879543ee6b857566ca2ed91cd14576d5,"Groom among 8 killed as SUV rams into college wall in UP’s Sambhal; PM, CM express grief","Eight people, including a groom and two children, were killed after the SUV they were travelling in crashed into a college’s wall in Uttar Pradesh’s Sambhal district on Friday evening, police said on Saturday. The mangled remains of the vehicle that met with an accident in Uttar Pradesh’s Sambhal. (Sourced)  The accident occurred when the groom and nine others, who were accompanying him, were en route from Har Govindpur village to Sirtoul in Buda",1
eef4f73ca8747392225ee2ea9ba8702c,"4 killed as driver loses control, car hits divider on expressway in Maharashtra","Four persons, including two women, were killed after the car they were travelling in hit a divider on the Samruddhi Expressway in Maharashtra’s Washim district, an official said on Friday. While on the highway, the driver felt sleepy and briefly stopped the car to answer nature's call.(Representative image)  The incident occurred around 8 pm on Thursday between Wanoja and Karanja on the high-speed carriageway, he said.  Know the latest trending n",1
