id,title,intersection,severity,collision_type,vehicle_hitting,vehicle_hitted,multiple_vehicle,location,state,date,time,killed,injured,reference,pedestrian_involved,confidence
289b49692e94306c630d6cd388db7002,21-yr-old dies in second accident on Ghodbunder Rd,NA,Fatal,Rear end,NA,scooter,Yes,"Thane, India",Maharashtra,"July 13, 2025",night,1,0,HT Photo,No,High
60ad33fc14c7be2b5a866d4b945f0e7f,Man dies after falling from moving bus in Delhi; driver held,NA,Fatal,NA,bus,NA,No,"Kapashera area, southwest Delhi",Delhi,Saturday,afternoon,1,0,NA,No,NA
7237aa4cc9a2a206ed3250ebd95a75be,"5 dead, 1 critical as SUV carrying 6 falls into 600-feet gorge in Jammu and Kashmir’s Ramban",NA,Fatal,Single vehicle collision,SUV,NA,No,"Ramban district, Jammu and Kashmir",Jammu and Kashmir,NA,night,5,1,NA,No,NA
101f789acff9b38c73438b2e48551809,Truck topples during road inspection in Maharashtra's Beed | On video,Midblock,Non - fatal,Single vehicle collision,truck,NA,No,Beed’s Khadki area,Maharashtra,Wednesday,NA,0,0,PTI,Yes,High
ec8dcc6a8f14786d66bea06bc862ee17,4 dead as truck falls into gorge in Madhya Pradesh's Agrapani Chata,NA,Fatal,Single vehicle collision,truck,NA,No,Agrapani Chata area,Madhya Pradesh,Friday,night,4,2,Times of India,No,High
70e74f2b49aa241e1264a79a9959dec6,Eight seriously injured after bus collided with stationary truck in Goregaon,Service road,Non - fatal,Rear end,bus,truck,yes,"Western Express Highway near Vanrai Police Station, Goregaon",Mumbai,NA,morning,0,8,Hindustan Times,no,NA
995d9db292d599f777f1465331187557,"Car plunges off mountain near Rohtang Pass in Himachal's Kullu amid rain, 4 killed, 1 seriously injured",NA,Fatal,Single vehicle collision,car,NA,No,"Rohtang Pass, Kullu district, Himachal Pradesh",Himachal Pradesh,Sunday,NA,4,1,Hindustan Times,No,High
879543ee6b857566ca2ed91cd14576d5,"Groom among 8 killed as SUV rams into college wall in UP’s Sambhal; PM, CM express grief",Midblock,Fatal,Single vehicle collision,SUV,wall,No,Sambhal district,Uttar Pradesh,Friday,evening,8,2,NA,No,NA
eef4f73ca8747392225ee2ea9ba8702c,"4 killed as driver loses control, car hits divider on expressway in Maharashtra",Highway,Fatal,Single vehicle collision,car,divider,No,"Samruddhi Expressway, Washim district, Maharashtra",Maharashtra,Thursday,evening,4,1,NA,No,NA
493f729d8b6ad480f8006ba3412ebbd0,Bengaluru police officer killed in hit-and-run accident while transporting drug suspects,NA,Fatal,Rear end,truck,car,Yes,Bengaluru,NA,"June 24, 2025",night,1,NA,Hindustan Times,No,High
3718b6e6c394568e95033d86a3c0f9a6,Family of four dies in car accident in Karnataka's Tumakuru,Highway,Fatal,Head On,truck,car,Yes,"Kunigal bypass, Tumakuru district",Karnataka,Sunday,evening,4,0,NA,No,NA
8c0e1f9c64b2b402b85411d10da6bc9f,Two people die in separate road accidents in Parel and Malad,Bridge/Flyover,Fatal,Side swipe,tempo,scooter,No,Mumbai,Maharashtra,Friday,afternoon,2,1,Times of India,Yes,High
da50684fce728e5d74586dd1b88c7f59,"Gurugram man rams car into law student after dozing off while driving, held",Service road,Fatal,Single vehicle collision,car,pedestrian,No,Delhi-Jaipur Highway,NA,June 24,night,1,1,NA,Yes,NA
0013568fb90379f031d8b99934feecd7,"1 dead, 3 injured as sleepy driver rams car into trailer",Highway,Fatal,Rear end,car,trailer,No,"Mumbai-Goa highway, Raigad district",NA,NA,night,1,3,NA,No,NA
8c41c7bee3ca8207ba0dde5b9498f302,"Tragedy in Malihabad: Teen dies in mishap, friend ends life hours later",NA,Fatal,NA,truck,pedestrian,No,Malihabad,NA,NA,morning,1,NA,Times of India,Yes,NA
