id,title,text,date,source,classification
289b49692e94306c630d6cd388db7002,21-yr-old dies in second accident on Ghodbunder Rd,"THANE: A 21-year-old woman returning home from work died on the spot in an accident on Ghodbunder Road. This accident comes less than 24 hours after a 32-year-old police constable died after his bike skidded while overtaking a dumper at Cadbury Junction. Thane, India - July -13, 2025: The accident spot at Nagala Bander ,On Saturday night, a 21-year-old woman riding a two-wheeler was coming from Gaimukh to Thane when her two-wheeler skidded on the road at Nagla Bandar Ghodbunder Road, Thane. While the woman was lying on the road, a vehicle coming from behind crushed the woman. The woman died on the spot and the driver of the vehicle fled the scene ,in Thane,in Mumbai, India, on, Sunday, July -13, 2025. ( Praful Gangurde / HT Photo ) (praful Gangurde)

The deceased, Gajal Tuteja, was a resident of Imperial Square, Lodha Splendora. She was returning home from work on her scooter on the Nagala Bunder when the unknown vehicle allegedly collided with hers at around 10pm near the Indian Oil petrol pump adjacent to the TMC building. The impact pushed her to fall from her two-wheeler and die on the spot.

Know the latest trending news with HT. Read detailed articles here

According to the preliminary police report, a PSI and beat marshal from Kasarvadavli Police Station reached the spot immediately. They moved the scooter to the side of the road to prevent traffic obstruction and restore vehicular flow. Her body was then shifted to the Thane Civil Hospital for postmortem, where her family members had also arrived.

The police have registered a case against the unidentified driver. However, eyewitnesses and residents allege that poor road conditions may have played a role. “The road near the petrol pump is uneven and filled with potholes. She likely lost control just before being hit,” said Santosh Iyer, a commuter who witnessed the accident.

The Kasarvadavli police have denied this theory and stated that the death was caused purely by a rear-end collision. “We are investigating the matter and examining CCTV footage from the area to identify the vehicle responsible,” said an officer.

Residents from complexes near Lodha have repeatedly voiced concerns over neglected road repairs, a lack of basic safety measures, and poor road condition boards. “Every year during monsoon, people lose lives here because roads are in bad condition and traffic makes it worse,” said one local Sharmila Kavlekar.",2025-07-14T08:40:18+05:30,Times of India,1
60ad33fc14c7be2b5a866d4b945f0e7f,Man dies after falling from moving bus in Delhi; driver held,"A 31-year-old daily-wage labourer died after falling from the rear gate of a moving cluster bus in southwest Delhi’s Kapashera area on Saturday afternoon, police said. The driver of the bus was arrested from the spot but later released on bail. The bus was en route to Bijwasan, and the victim, identified as Shivam Kumar, originally from Kanpur, Uttar Pradesh, was also headed to the same destination.(Representational Image)

The bus was en route to Bijwasan, and the victim, identified as Shivam Kumar, originally from Kanpur, Uttar Pradesh, was also headed to the same destination, police said. Kumar had been working in Delhi for the past few months.The incident took place around 2pm, when Kumar allegedly fell from an unsecured rear gate of the bus while it was in motion.

Know the latest trending news with HT. Read detailed articles here

“A call was received stating that a man had sustained injuries after falling from a moving bus,” said a senior police officer. A police team rushed to the scene and found a cluster bus at the location. Bystanders told the team that the victim had fallen from the open rear gate, which had not been closed by the driver.

“The passengers said that the driver did not shut the rear door, and when the bus jerked, the man fell off and died on the spot,” the officer added. The victim was transported by a PCR van to Indira Gandhi Hospital, where doctors declared him dead. Police said the body has been preserved for an autopsy.

Based on eyewitness accounts and a preliminary investigation, the driver — identified as Rahul Kumar, a resident of Bulandshahr, Uttar Pradesh — was arrested at the scene. A case under Section 106 (causing death by negligence) of the Bharatiya Nyaya Sanhita (BNS) has been registered. “The man fell from the rear gate, which was reportedly not secured properly,” the officer quoted above said. Police said that CCTV footage and statements of passengers are being examined to verify the sequence of events.",2025-07-14T05:32:09+05:30,Times of India,1
7237aa4cc9a2a206ed3250ebd95a75be,"5 dead, 1 critical as SUV carrying 6 falls into 600-feet gorge in Jammu and Kashmir’s Ramban","Five people were killed and another was critically injured when a private passenger vehicle skidded off the road and plunged into a 600-feet gorge in Ramban district of Jammu and Kashmir, officials said on Saturday. Jammu and Kashmir Lt Governor Manoj Sinha, chief minister Omar Abdullah and Union minister Jitendra Singh expressed grief over the accident(Representational)

The SUV met with the accident near Senabathi in Ukhral Pogal Paristan area late Friday, they said.

Know the latest trending news with HT. Read detailed articles here

Rescuers found one of the passengers Tauqeer Ahmad (20) dead at the spot while five other critically injured people were rushed to a hospital but three of them -- Mohd Rafiq (40), Abdul Latief (40) and Ajaz Ahmad (20) – succumbed to their injuries enroute.

Shakeel Ahmad (24) breathed his last at a hospital in Srinagar this morning, while the condition of Yawar Ahmad (25), the lone survivor, remains critical.

Lt Governor Manoj Sinha, Chief Minister Omar Abdullah and Union minister Jitendra Singh expressed grief over the accident and assured necessary support to the injured and families of victims.

Ramban Deputy Commissioner Mohammad Alyas Khan has announced an assistance of ₹1 lakh each to the next of kin of the deceased and ₹25,000 to injured.

“All possible support is being extended to the affected families,” the DC said in a post on X.",2025-07-12T13:01:17+05:30,Times of India,1
101f789acff9b38c73438b2e48551809,Truck topples during road inspection in Maharashtra's Beed | On video,"A Public Works Department engineer along with some other people narrowly escaped an accident as a truck that came during a road inspection toppled while crossing a muddy path in Maharashtra’s Beed. Some even jumped into the pit dug for construction so as to not get crushed under the truck, shows video. (Screengrab/X/@PTI_News)

The incident happened in Beed’s Khadki area when a team was at the spot assessing an alternative route amid ongoing bridge construction in the area, following appeals from students, reported PTI.

Know the latest trending news with HT. Read detailed articles here

A video of the incident has gone viral on social media.

The video shows a group of men watching a truck passing through a narrow road along what seems like a construction site. However, as soon as the truck tries to take a turn, it skids due to mud and topples sideways as all the men hastily run away from the spot to avoid getting caught up in the accident. Some even jumped into the pit dug for construction so as to not get crushed under the truck. The driver is seen coming out of the vehicle from the side door, which was on top after the incident.

The engineer and his team were at the spot after some students had raised concerns about the dangerous situation of the road, reported Free Press Journal. Earlier, the students had raised the issue with the Chief Minister’s Gram Sadak Department, urging the construction of an alternative route since the ongoing bridge work had made the current road too dangerous to use, the report added. In response, the engineer promised to visit the site himself and notify the contractor in charge.

The incident happened on Wednesday when the team was inspecting the site. However, no casualties were reported.

Incidents of trucks losing balance and road accidents are not uncommonly reported in India. On Friday, five people were killed and four others injured after a borewell drilling truck they were travelling in fell into a ravine in Chhattisgarh’s Kabirdham district, police said.

The truck, with nine people onboard, plunged into a small ravine after the driver allegedly lost control of the vehicle near Chata village under the Kukdur police station.",2025-07-11T21:08:59+05:30,Times of India,1
ec8dcc6a8f14786d66bea06bc862ee17,4 dead as truck falls into gorge in Madhya Pradesh's Agrapani Chata,"A truck carrying borewell machinery and labourers met with an accident, reportedly killing at least four people near Madhya Pradesh's Agrapani Chata area on Friday. Additional police personnel and ambulances have been deployed to the spot to assist the search and rescue operations.(Unsplash/ representational)

According to the police, the truck, after losing balance, went out of control and fell into a 60-foot-deep gorge, TOI reported.

Know the latest trending news with HT. Read detailed articles here

Local residents informed the police, after they came across the toppled truck during the early hours of Friday.

The police recovered four dead bodies from the debris of the accident. Two individuals were critically injured and admitted to the Kukdoor Community Health Centre.

More bodies were feared trapped underneath the debris and were yet to be recovered. A rescue team reached the site, and efforts are underway to extract those trapped, according to a United News of India report.

Additional police personnel and ambulances have been deployed to the spot to assist the search and rescue operations.

Authorities were working to confirm the identities of the deceased and ascertain the exact number of passengers in the vehicle, said the TOI report.

Police believe the incident might have occurred late at night, given the condition of the vehicle and the surroundings. Further investigation is ongoing and details are awaited.

In an unrelated incident, an unusually long 40-hour traffic snarl claimed at least three lives on state's Indore-Dewas highway, stretching for about eight kilometers.

The massive congestion took place between June 26 and 27 with with over 4000 vehicles stuck in the chaos, with the National Highway Authority of India (NHAI) attributing the delay to a 10-day crusher unit strike.

Due to the unfinished work, drivers on the highway were caught in the traffic disruption.

The deceased included 62-year-old Kamal Panchal from Indore, 55-year-old Balram Patel from Shujalpur and 32-year-old Sandeep Patel from Gari Pipalya village.",2025-07-11T17:56:26+05:30,Times of India,1
70e74f2b49aa241e1264a79a9959dec6,Eight seriously injured after bus collided with stationary truck in Goregaon,"Mumbai: At least eight people were seriously injured after a bus collided with a stationary truck on Sewri-Dindoshi route early on Friday. The BEST bus and truck accident on Western Express Highway near Vanrai Police Station, five passengers injured in Mumbai.(Satish Bate/ HT Photo)

The injured included the driver and conductor of the bus, which belonged to Brihanmumbai Electric Supply and Transport (BEST),

Know the latest trending news with HT. Read detailed articles here

BEST spokesperson Sudas Sawant said, “When the bus arrived near Vanrai police station in Goregaon, a private car suddenly came in front of the bus from the service road. The bus driver lost control of the vehicle and hit a stationary truck parked on the left side of the road.”

There were fewer passengers in the bus since it was early morning.

The left portion on the front side of the bus was severely damaged. The injured were taken to Jogeshwari Trauma Care hospital for primary treatment.

The injured passengers were identified as Ashraf Sahid Husen (66), Sitaram Gaikwad (60) Bharti Mandavkar (56), Sudhakar Rewale (57), Pochiya Naresh Kanpochi (30) and Amit Yadav (35).",2025-07-11T12:19:24+05:30,Times of India,1
995d9db292d599f777f1465331187557,"Car plunges off mountain near Rohtang Pass in Himachal's Kullu amid rain, 4 killed, 1 seriously injured","Four people died and one was seriously injured as their car plunged into a gorge near the Rohtang Pass in Himachal Pradesh's Kullu district amid heavy rain on Sunday. Heavy and incessant rains across Himachal Pradesh have led to many roads being blocked.(Hindustan Times)

The vehicle, which had five passengers, slipped off the road before falling down the mountain near Rahninala, deputy superintendent of police, Manali, KD Sharma said.

Know the latest trending news with HT. Read detailed articles here

One person sustained serious injuries in the accident, with rescue operations underway, the DSP added. He also said the victims have not been identified yet.

Himachal Pradesh chief minister Sukhvinder Singh Sukhu called the incident “heart-wrenching”. He said the local administration had been directed to ensure that the injured person is provided proper medical facilities for their treatment.

“May God grant a place at His divine feet to the souls of the departed and provide strength to the grieving families to bear this immense sorrow. I pray for the speedy recovery of the injured person,” Sukhu said in a post on X.

Heavy and incessant rain across Himachal Pradesh have led to many roads being blocked, ANI quoted the State Emergency Operation Centre as saying. Kullu district remains the second most impacted in terms of access to roads, with 39 of them blocked in sub-divisions including Banjar and Nirmand following rain-related obstructions.

The incident comes nearly a week after a similar one in Shimla, wherein three people died in a road accident near Jalog.

The death toll in the state during the ongoing monsoon season had gone up to more than 70, including rain-related fatalities and accidental deaths, ANI said quoting official data from the State Emergency Operations Centre (SEOC).

Given the sensitive situation in the state, the SEOC has kept a close tab on the situation and has released a 24x7 helpline – 1070 – for relief efforts.

The government had advised the public to avoid non-urgent travel, especially in zones prone to landslides.",2025-07-06T15:02:18+05:30,Times of India,1
07aefae582865ec5533cad5fb303ffcf,Karnataka man dies after falling into fire pit during Muharram ritual,"A Karnataka man tragically died after falling into a fire pit on Sunday during Muharram celebrations in Raichur district. He was rushed to the hospital but could not be saved, said Lingasur Police. A man tragically died in Karnataka after falling into a ritual fire pit during Muharram celebrations.(HT Photo)

The 40-year-old victim, identified as Hanumanth, was preparing for the festival when he accidentally fell into the fire pit used in a key ritual during Muharram. According to the police, cited by news agency ANI, he was taken to the Laigasur Government Hospital, where doctors declared him dead.

Know the latest trending news with HT. Read detailed articles here

In a separate incident in Bihar, at least one person was killed and 24 others were injured due to electrocution during a Muharram procession in Darbhanga district on Saturday evening.

Darbhanga District Magistrate Kaushal Kumar said the accident happened when a portion of the tazia came in contact with a high-tension electric wire while the procession was passing through Kakorha village under the jurisdiction of Sakatpur police station.

""One person died and 24 others were injured in the incident,"" he told PTI.

He added, “The injured are undergoing treatment at the hospital, and their condition was stated to be out of danger.” District administration officials and police personnel at the scene immediately rushed the victims to the nearest hospital.

Security beefed up across country

Muharram is being observed this year on Sunday, July 6. Security has been tightened across the country, including in New Delhi, West Bengal, Uttar Pradesh, and Jharkhand, in anticipation of large processions.

In Delhi, the police have implemented detailed traffic arrangements to ensure public safety and smooth vehicular movement.

Speaking to ANI, Additional Commissioner of Police (Traffic) Dinesh Kumar Gupta said, ""As Muharram is on June 6 in Delhi, we have set up detailed arrangements for traffic. It will be our job to provide diversions to the traffic, and the public should feel minimal inconvenience. When the procession is underway, we will provide some diversion for it. Detailed arrangements have been issued, and we will remain in the fields to closely monitor the Muharram procession...""

Gupta also mentioned that preparations are underway for the Kanwar Yatra, another major religious event that draws lakhs of devotees.",2025-07-06T12:30:55+05:30,Times of India,2
879543ee6b857566ca2ed91cd14576d5,"Groom among 8 killed as SUV rams into college wall in UP’s Sambhal; PM, CM express grief","Eight people, including a groom and two children, were killed after the SUV they were travelling in crashed into a college’s wall in Uttar Pradesh’s Sambhal district on Friday evening, police said on Saturday. The mangled remains of the vehicle that met with an accident in Uttar Pradesh’s Sambhal. (Sourced)

The accident occurred when the groom and nine others, who were accompanying him, were en route from Har Govindpur village to Sirtoul in Budaun, they added. Condoling the deaths, Prime Minister Narendra Modi announced an ex gratia of ₹2 lakh from Prime Minister’s National Relief Fund (PMNRF) for the next of kin of each deceased and ₹50,000 each to the injured.

Know the latest trending news with HT. Read detailed articles here

The PMO India handle in post on X said: “Deeply saddened by the loss of lives in an accident in Sambhal, Uttar Pradesh. Condolences to those who have lost their loved ones in the mishap. May the injured recover soon. An ex-gratia of ₹2 lakh from PMNRF would be given to the next of kin of each deceased. The injured would be given Rs. 50,000”

Uttar Pradesh chief minister’s office posted on X in Hindi, “UP CM Yogi Adityanath has taken cognizance of the road accident in Sambhal district. He has expressed condolences to the bereaved families of the deceased.”

“The chief minister has instructed the district administration officials to immediately take the injured to the hospital and provide them proper treatment. He also wished for the speedy recovery of the injured,” the post added.

Win exciting prizes daily View T&C Back Q. Which Indian city has the best quality of living? Delhi Mumbai Bengaluru Please wait a moment.

Sambhal SP Krishan Kumar Bishnoi said, “A car carrying 10 wedding guests, including the groom, collided with the wall of Janata Inter College on the Meerut-Badaun highway. Eight people have died. Two others are critically injured and have been referred to a higher medical centre. Post-mortem procedures are underway.”

The groom Suraj Pal, 20, his sister-in-law Asha, 26, her daughter Aishwarya, 3, Sachin, 22, Ganesh, 2, Komal, 15, Madhu, 20, and driver Ravi, 28, died in the accident, the SP added. The two injured—Deva, 24, and Himanshi, 2,—were undergoing treatment in Aligarh, he said, adding that Deva’s condition was stated serious while Himanshi was out of danger.

According to an eyewitness, the ill-fated vehicle was travelling at a very high speed before it lost control and struck the wall. As the SUV approached Junawai, it veered and crashed into the college wall.

The impact was so severe that the vehicle was torn apart. Locals rushed to the scene to help and with great effort managed to pull the victims out of the wreckage. The injured were rushed to a nearby community health centre, but doctors declared eight of them dead on arrival.",2025-07-06T05:16:13+05:30,Times of India,1
eef4f73ca8747392225ee2ea9ba8702c,"4 killed as driver loses control, car hits divider on expressway in Maharashtra","Four persons, including two women, were killed after the car they were travelling in hit a divider on the Samruddhi Expressway in Maharashtra’s Washim district, an official said on Friday. While on the highway, the driver felt sleepy and briefly stopped the car to answer nature's call.(Representative image)

The incident occurred around 8 pm on Thursday between Wanoja and Karanja on the high-speed carriageway, he said.

Know the latest trending news with HT. Read detailed articles here

Five members of a family from Umred in Nagpur district were returning in a car after attending a function in Pune. Near channel number 215, the driver of the car lost control of the wheel, and the vehicle crashed into the divider, said the official from the Mangrulpir police station.

Of the car occupants, Madhuri Jaiswal and Vaidehi Jaiswal died on the spot, while Sangeeta and Radheshyam Jaiswal succumbed to their injuries in a hospital, the official said.

The person driving the car suffered injuries and is being treated in a hospital in Washim, he added.",2025-07-04T11:06:04+05:30,Times of India,1
