id,title,intersection,severity,collision_type,vehicle_hitting,vehicle_hitted,multiple_vehicle,location,state,date,time,killed,injured,reference,pedestrian_involved,confidence,model
289b49692e94306c630d6cd388db7002,21-yr-old dies in second accident on Ghodbunder Rd,Midblock,Fatal,Rear end,NA,scooter,Yes,Nagla Bandar Ghodbunder Road,Maharashtra,2025-07-13,night,1,0,Times of India,No,High,qwen/qwen3-32b
60ad33fc14c7be2b5a866d4b945f0e7f,Man dies after falling from moving bus in Delhi; driver held,NA,Fatal,NA,NA,NA,NA,"Kapashera, Delhi",Delhi,NA,NA,1,0,Times of India,NA,high,qwen/qwen3-32b
7237aa4cc9a2a206ed3250ebd95a75be,"5 dead, 1 critical as SUV carrying 6 falls into 600-feet gorge in Jammu and Kashmir’s Ramban",NA,Fatal,Single vehicle collision,NA,NA,No,"Senabathi, Ukhral Pogal Paristan",Jammu and Kashmir,NA,evening,5,1,Times of India,No,high,qwen/qwen3-32b
101f789acff9b38c73438b2e48551809,Truck topples during road inspection in Maharashtra's Beed | On video,NA,Property damage,Single vehicle collision,truck,NA,No,Beed’s Khadki area,Maharashtra,NA,NA,0,0,Times of India,No,0.9,qwen/qwen3-32b
ec8dcc6a8f14786d66bea06bc862ee17,4 dead as truck falls into gorge in Madhya Pradesh's Agrapani Chata,NA,Fatal,NA,truck,NA,No,Agrapani Chata,Madhya Pradesh,Friday,night,4,2,Times of India,No,High,qwen/qwen3-32b
879543ee6b857566ca2ed91cd14576d5,"Groom among 8 killed as SUV rams into college wall in UP’s Sambhal; PM, CM express grief",Highway,Fatal,Single vehicle collision,car,NA,No,Sambhal,Uttar Pradesh,NA,evening,8,2,Times of India,No,High,qwen/qwen3-32b
eef4f73ca8747392225ee2ea9ba8702c,"4 killed as driver loses control, car hits divider on expressway in Maharashtra",Highway,Fatal,Single vehicle collision,car,NA,No,"Samruddhi Expressway, between Wanoja and Karanja",Maharashtra,NA,evening,4,1,Times of India,No,high,qwen/qwen3-32b
493f729d8b6ad480f8006ba3412ebbd0,Bengaluru police officer killed in hit-and-run accident while transporting drug suspects,NA,Fatal,Rear end,truck,car,Yes,"Surya Nagar, Hebbagodi",Karnataka,2025-06-24,night,1,0,Times of India,No,High,qwen/qwen3-32b
3718b6e6c394568e95033d86a3c0f9a6,Family of four dies in car accident in Karnataka's Tumakuru,NA,Fatal,Head On,mini truck,car,yes,Kunigal bypass,Karnataka,NA,evening,4,0,Times of India,no,high,qwen/qwen3-32b
404dedc6df59baa7a7c1d0156f24e5a9,"Four, including infant, killed as car plunges into canal amid heavy rain in Haldwani",NA,Fatal,NA,car,NA,No,"Rampur road, Haldwani, Nainital district",Uttarakhand,NA,morning,4,3,Times of India,No,High,qwen/qwen3-32b
3de8e370eeb9ee04188aa92306d483ea,"Woman killed, family injured as landslide hits Uttarakhand's Badrinath highway",Highway,Fatal,NA,NA,car,No,"near Patalganga, between Joshimath and Pipalkoti on the Badrinath highway",Uttarakhand,NA,NA,1,2,Times of India,No,High,qwen/qwen3-32b
35a78f0f2b522842041ab7ab714e12df,"One killed, 5 injured as SUV hits tempo in Himachal's Una",NA,Fatal,Head On,SUV,tempo,Yes,Barnoh village,Himachal Pradesh,Sunday,NA,1,5,Times of India,No,High,qwen/qwen3-32b
ccaae6e7f6e0671c1e23ea30643d635a,Who is Amanda Kempton? Virginia woman charged in fatal hit-and-run that killed Netflix star Sara Burack,Highway,Fatal,Hit and run,NA,pedestrian,No,Hampton Bays,New York,Friday,night,1,0,Times of India,Yes,high,qwen/qwen3-32b
bbab6df161b7a40b77dc2a41fbefa854,"9 killed after SUV, truck collide heads-on in Bengal",NA,Fatal,Head On,truck,car,Yes,"NH-18, Namshol village, Balarampur Police Station, Purulia district",West Bengal,Friday,morning,9,0,Times of India,NA,High,qwen/qwen3-32b
3dad6b85afbda937c42cfaafd1764531,Pune: Woman riding pillion on scooter crushed to death by truck at traffic junction,Signalized,Fatal,Rear end,truck,scooter,Yes,"Gangadham Chowk, Market Yard",Maharashtra,NA,morning,1,1,Times of India,No,High,qwen/qwen3-32b
09d36a8fed85816549990f18fb502e6e,Three decomposing bodies found in car fallen in nullah in Shahapur,Highway,Fatal,Single vehicle collision,car,NA,No,Mumbai-Nashik highway near Umbermali village,Maharashtra,2023-06-02,night,3,0,Times of India,No,high,qwen/qwen3-32b
558b72ad711c7448e378a81fc7a108a3,Narrow escape for Odisha minister after his vehicle collides with truck,Sandhapur Square,Property damage,Head On,truck,car,Yes,"Barang, Cuttack district",Odisha,Jun 6,NA,0,0,Times of India,NA,high,qwen/qwen3-32b
a6db5b0a9e38dafb3bb79d7642a68713,Two trucks catch fire after collision on expressway near Ahmedabad,NA,Non - fatal,Rear end,truck,truck,Yes,"National Expressway 1, around 10 km before Ahmedabad",Gujarat,NA,morning,0,1,Times of India,NA,High,qwen/qwen3-32b
1feccae58a21f9ef9b16cc77b610d4fc,"Nine killed, two injured as truck overturns on van in Madhya Pradesh's Jhabua",Bridge/Flyover,Fatal,NA,truck,van,Yes,"Sanjeli railway crossing, Meghnagar tehsil",Madhya Pradesh,NA,night,9,2,Times of India,No,high,qwen/qwen3-32b
0e83fad61698ed9d570d78697aafe73e,UP couple returning after distributing son's wedding card dies in road crash,NA,Fatal,Hit and run,NA,motorcycle,Yes,Nagina-Dhampur road,Uttar Pradesh,NA,night,2,0,Times of India,No,High,qwen/qwen3-32b
