id,title,intersection,severity,collision_type,vehicle_hitting,vehicle_hitted,multiple_vehicle,location,state,date,time,killed,injured,pedestrian_involved
289b49692e94306c630d6cd388db7002,21-yr-old dies in second accident on Ghodbunder Rd,NA,Fatal,Rear end,NA,scooter,Yes,"Nagla Bandar, Ghodbunder Road, Thane",Maharashtra,"July 13, 2025",night,1,0,No
7237aa4cc9a2a206ed3250ebd95a75be,"5 dead, 1 critical as SUV carrying 6 falls into 600-feet gorge in Jammu and Kashmir’s Ramban",NA,Fatal,Single vehicle collision,car,NA,No,"Ramban district, Jammu and Kashmir",Jammu and Kashmir,NA,night,5,1,
101f789acff9b38c73438b2e48551809,Truck topples during road inspection in Maharashtra's Beed | On video,Midblock,Non - fatal,Single vehicle collision,truck,NA,No,Beed,Maharashtra,NA,NA,0,0,NA
ec8dcc6a8f14786d66bea06bc862ee17,4 dead as truck falls into gorge in Madhya Pradesh's Agrapani Chata,NA,Fatal,Single vehicle collision,truck,NA,No,Agrapani Chata area,Madhya Pradesh,NA,NA,4,2,No
70e74f2b49aa241e1264a79a9959dec6,Eight seriously injured after bus collided with stationary truck in Goregaon,NA,Non - fatal,Rear end,bus,truck,Yes,"Western Express Highway near Vanrai Police Station, Goregaon, Mumbai",Maharashtra,NA,NA,0,8,No
995d9db292d599f777f1465331187557,"Car plunges off mountain near Rohtang Pass in Himachal's Kullu amid rain, 4 killed, 1 seriously injured",NA,Fatal,Single vehicle collision,NA,car,No,"Rohtang Pass, Kullu district, Himachal Pradesh",Himachal Pradesh,NA,NA,4,1,No
879543ee6b857566ca2ed91cd14576d5,"Groom among 8 killed as SUV rams into college wall in UP’s Sambhal; PM, CM express grief",NA,Fatal,Single vehicle collision,car,NA,No,"Samruddhi Expressway, Washim district, Maharashtra",Uttar Pradesh,NA,evening,8,2,No
eef4f73ca8747392225ee2ea9ba8702c,"4 killed as driver loses control, car hits divider on expressway in Maharashtra",Highway,Fatal,Single vehicle collision,car,NA,No,"Samruddhi Expressway between Wanoja and Karanja, Washim district",Maharashtra,2025-07-04,night,4,1,NA
493f729d8b6ad480f8006ba3412ebbd0,Bengaluru police officer killed in hit-and-run accident while transporting drug suspects,NA,Fatal,Rear end,truck,car,Yes,"Surya Nagar, Hebbagodi",Karnataka,2025-06-24,night,1,0,No
3718b6e6c394568e95033d86a3c0f9a6,Family of four dies in car accident in Karnataka's Tumakuru,Highway,Fatal,Head On,truck,car,yes,"Kunigal bypass, Tumakuru district, Karnataka",Karnataka,2025-06-30,Evening,4,0,no
da50684fce728e5d74586dd1b88c7f59,"Gurugram man rams car into law student after dozing off while driving, held",Highway,Fatal,Hit and run,car,pedestrian,No,"Delhi–Jaipur Highway, near Chanchal Dhaba, Gurugram",Haryana,June 24,night,1,1,Yes
8c41c7bee3ca8207ba0dde5b9498f302,"Tragedy in Malihabad:Teen dies in mishap, friend ends life hours later",Highway,Fatal,Rear end,truck,pedestrian,No,"Hardoi-Lucknow Road, Sarawan village, Malihabad, Uttar Pradesh",Uttar Pradesh,2025-06-26,morning,1,0,Yes
404dedc6df59baa7a7c1d0156f24e5a9,"Four, including infant, killed as car plunges into canal amid heavy rain in Haldwani",NA,Fatal,Single vehicle collision,Car,NA,No,"Haldwani, Uttarakhand",Uttarakhand,2025-06-23,NA,4,3,NA
3de8e370eeb9ee04188aa92306d483ea,"Woman killed, family injured as landslide hits Uttarakhand's Badrinath highway",Highway,Fatal,NA,NA,car,NA,"Patalganga, near Pipalkoti on Badrinath National Highway",Uttarakhand,NA,NA,1,2,NA
35a78f0f2b522842041ab7ab714e12df,"One killed, 5 injured as SUV hits tempo in Himachal's Una",NA,Fatal,Head On,car,tempo,yes,Barnoh village,Himachal Pradesh,NA,NA,1,5,no
0eee3aee332ad9479e0a40b4d6ec9d9d,Man killed by speeding metro feeder bus in Delhi's Shastri Park,NA,Fatal,Rear end,bus,pedestrian,No,"GT Road near Shastri Park, Delhi",Delhi,21-06-2025,NA,1,0,Yes
ccaae6e7f6e0671c1e23ea30643d635a,Who is Amanda Kempton? Virginia woman charged in fatal hit-and-run that killed Netflix star Sara Burack,Highway,Fatal,Hit and run,car,pedestrian,No,"Montauk Highway near Villa Paul Restaurant, Hampton Bays",New York,NA,night,1,0,Yes
