id,title,text_snippet,ground_truth
26fbfa141f661ff26add45954a3a1a43,Man dies after falling from moving bus in Delhi; driver held,"THANE: A 21-year-old woman returning home from work died on the spot in an accident on Ghodbunder Road. This accident comes less than 24 hours after a 32-year-old police constable died after his bike skidded while overtaking a dumper at Cadbury Junction. Thane, India - July -13, 2025: The accident spot at Nagala Bander ,On Saturday night, a 21-year-old woman riding a two-wheeler was coming from Gaimukh to Thane when her two-wheeler skidded on the",1
825ce7da3df2eee0ac35dda430f35255,,"A 31-year-old daily-wage labourer died after falling from the rear gate of a moving cluster bus in southwest Delhi’s Kapashera area on Saturday afternoon, police said. The driver of the bus was arrested from the spot but later released on bail. The bus was en route to Bijwasan, and the victim, identified as Shivam Kumar, originally from Kanpur, Uttar Pradesh, was also headed to the same destination.(Representational Image)  The bus was en route t",1
81473acb0a811e8f1acb4d80c259f5d7,"5 dead, 1 critical as SUV carrying 6 falls into 600-feet gorge in Jammu and Kashmir’s Ramban","Five people were killed and another was critically injured when a private passenger vehicle skidded off the road and plunged into a 600-feet gorge in Ramban district of Jammu and Kashmir, officials said on Saturday. Jammu and Kashmir Lt Governor Manoj Sinha, chief minister Omar Abdullah and Union minister Jitendra Singh expressed grief over the accident(Representational)  The SUV met with the accident near Senabathi in Ukhral Pogal Paristan area",1
06cca4053bc80b03b8d912c392f2a0ad,Truck topples during road inspection in Maharashtra's Beed | On video,"A Public Works Department engineer along with some other people narrowly escaped an accident as a truck that came during a road inspection toppled while crossing a muddy path in Maharashtra’s Beed. Some even jumped into the pit dug for construction so as to not get crushed under the truck, shows video. (Screengrab/X/@PTI_News)  The incident happened in Beed’s Khadki area when a team was at the spot assessing an alternative route amid ongoing brid",1
721fe079964c1f3e9dbaaf546f453f4d,4 dead as truck falls into gorge in Madhya Pradesh's Agrapani Chata,"A truck carrying borewell machinery and labourers met with an accident, reportedly killing at least four people near Madhya Pradesh's Agrapani Chata area on Friday. Additional police personnel and ambulances have been deployed to the spot to assist the search and rescue operations.(Unsplash/ representational)  According to the police, the truck, after losing balance, went out of control and fell into a 60-foot-deep gorge, TOI reported.  Know the",1
6d9f56cfeb8e69890a32938ab93cbb9d,Eight seriously injured after bus collided with stationary truck in Goregaon,"Mumbai: At least eight people were seriously injured after a bus collided with a stationary truck on Sewri-Dindoshi route early on Friday. The BEST bus and truck accident on Western Express Highway near Vanrai Police Station, five passengers injured in Mumbai.(Satish Bate/ HT Photo)  The injured included the driver and conductor of the bus, which belonged to Brihanmumbai Electric Supply and Transport (BEST),  Know the latest trending news with HT",1
b8d42069a8b692eefd3c584df640b7c0,"Car plunges off mountain near Rohtang Pass in Himachal's Kullu amid rain, 4 killed, 1 seriously injured","Four people died and one was seriously injured as their car plunged into a gorge near the Rohtang Pass in Himachal Pradesh's Kullu district amid heavy rain on Sunday. Heavy and incessant rains across Himachal Pradesh have led to many roads being blocked.(Hindustan Times)  The vehicle, which had five passengers, slipped off the road before falling down the mountain near Rahninala, deputy superintendent of police, Manali, KD Sharma said.  Know the",1
b9d2dbd0beb8717519a4245e0448d6ea,Karnataka man dies after falling into fire pit during Muharram ritual,"A Karnataka man tragically died after falling into a fire pit on Sunday during Muharram celebrations in Raichur district. He was rushed to the hospital but could not be saved, said Lingasur Police. A man tragically died in Karnataka after falling into a ritual fire pit during Muharram celebrations.(HT Photo)  The 40-year-old victim, identified as Hanumanth, was preparing for the festival when he accidentally fell into the fire pit used in a key r",2
553dfb55f86b3839b675f79d1d6be27c,"Groom among 8 killed as SUV rams into college wall in UP’s Sambhal; PM, CM express grief","Eight people, including a groom and two children, were killed after the SUV they were travelling in crashed into a college’s wall in Uttar Pradesh’s Sambhal district on Friday evening, police said on Saturday. The mangled remains of the vehicle that met with an accident in Uttar Pradesh’s Sambhal. (Sourced)  The accident occurred when the groom and nine others, who were accompanying him, were en route from Har Govindpur village to Sirtoul in Buda",1
a0692fd9556ff47bfd200f4dc0587544,"4 killed as driver loses control, car hits divider on expressway in Maharashtra","Four persons, including two women, were killed after the car they were travelling in hit a divider on the Samruddhi Expressway in Maharashtra’s Washim district, an official said on Friday. While on the highway, the driver felt sleepy and briefly stopped the car to answer nature's call.(Representative image)  The incident occurred around 8 pm on Thursday between Wanoja and Karanja on the high-speed carriageway, he said.  Know the latest trending n",1
9e7d0a95bdfa66ecc6a8465f4d7dcbc6,4 killed after oil-drilling ship overturns in Gulf of Suez,"An oil-drilling ship capsized in the Gulf of Suez, killing at least four crewmen and leaving four others missing, authorities said Wednesday. There were 30 workers on board when the drilling ship capsized.(AFP file)  The drilling ship overturned Tuesday evening off the city of Ras Ghareb, on the African side of the Gulf of Suez, the Red Sea’s northwestern arm and a crucial shipping route, the Petroleum Ministry said in a statement.  Know the late",2
11087551c04cf104284870feec667708,Bengaluru police officer killed in hit-and-run accident while transporting drug suspects,"In a shocking incident, a police sub-inspector (PSI) from the Talaghattapura station was killed in a hit-and-run accident while transporting two drug case accused on the night of June 24, 2025. The deceased has been identified as Mahboob Guddahalli, aged 40, who passed away in the early morning hours of June 29, Sunday, after a week-long battle for survival. Bengaluru hit-and-run accident: CCTV footage showed that a truck rear ended the PSI's car",1
6a810d676b9ec86d940110f210daf528,Family of four dies in car accident in Karnataka's Tumakuru,"Four members of a family, including a 13-year-old boy, have died after the car they were travelling in allegedly collided head-on with a speeding mini truck on the bypass near Kunigal in Tumakuru district, police said on Monday. The car was also speeding, and the impact of the accident was so severe that all four passengers in the car died on the spot(iStockphoto/Representational Image)  The deceased have been identified as Seebe Gowda (50), his",1
a08f1e4b9db0cbc680a63967b47194e9,"UP toddler dies in chickpeas pot, 2 yrs after sister fell, died in hot vessel","A toddler died after falling inside a hot kaddhai (vessel) in which chhole (chickpeas) was being cooked, two years after her sister's death in a similar incident. The incident took place in Uttar Pradesh's Sonbhadra district, after the 18-month-old girl's father kept a pot of chickpeas on the stove for boiling. The toddler, who was playing at the time, fell inside the vessel in which the chickpeas were being cooked.(Representative image)  Accordi",2
